Time, Wireless Strength, Battery Level, AF3, T7, Pz, T8, AF4 
0.0 , 2 , -1 , 0 , 0 , 0 , 0 , 0 , 

0.523887693882 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

1.05559468269 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

1.41527879238 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

1.69677066803 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

1.97826254368 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

2.33794665337 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

2.65071558952 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

2.94002652168 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

3.23715686798 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

3.58120250702 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

3.95652508736 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

4.28493261337 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

4.61333942413 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

4.95738506317 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

5.28579235077 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

5.59074211121 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

5.89569187164 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

6.23973751068 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

6.63851737976 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

6.92000961304 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

7.25623607635 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

7.56118535995 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

7.85831594467 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

8.15544605255 , 2 , -1 , 0 , 4 , 4 , 4 , 4 , 

8.78098392487 , 2 , -1 , 2 , 4 , 4 , 4 , 4 , 

9.10157203674 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

9.7818441391 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

10.2040815353 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

10.5324888229 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

10.8530769348 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

11.1736650467 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

11.8304796219 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

12.1119709015 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

12.5342092514 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

13.206662178 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

13.6210803986 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

13.9338493347 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

14.3091716766 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

14.6766757965 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

15.0129022598 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

15.3256702423 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

15.6853542328 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

16.0137615204 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

16.6158409119 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

17.1944637299 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

17.4759559631 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

17.7730865479 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

18.0467586517 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

18.4377193451 , 2 , -1 , 4 , 4 , 4 , 4 , 4 , 

